Name,Manufacturer,Brand,Condition,Price,Warranty_type,Warranty_time,Architecture,Max_resolution,Base_clock,Boost_clock,Memory_clock,Memory_size,Memory_type,Bus_width,Bandwidth,Cores,Length,Width,Height,Bus_interface,TDP,OpenGL,DirectX
RX570 PowerColor,Powercolor,AMD,Đã qua sử dụng,600000,Không có bảo hành,0,GCN 4.0,4096x2160,1168,1250.0,1750,4.0,GDDR5,256,224.0,2048,255.0,137.0,47.0,PCIe 3.0 x16,150,4.6,12
RX 6700 XT MECH 2X OC,Msi,AMD,Đã qua sử dụng,4500000,Bảo hành hãng,2,RDNA 2.0,7680x4320,2375,2620.0,2000,12.0,GDDR6,192,384.0,2560,247.0,131.0,51.0,PCIe 4.0 x16,230,4.6,12 Ultimate
RX 6700 XT MECH 2X OC,Msi,AMD,Đã qua sử dụng,4730000,Bảo hành hãng,12,RDNA 2.0,7680x4320,2375,2620.0,2000,12.0,GDDR6,192,384.0,2560,247.0,131.0,51.0,PCIe 4.0 x16,230,4.6,12 Ultimate
ASRock RX 6800,Asrock,AMD,Đã qua sử dụng,6450000,Không có bảo hành,0,RDNA 2.0,7680x4320,1700,2105.0,2000,16.0,GDDR6,256,512.0,3840,267.0,120.0,40.0,PCIe 4.0 x16,250,4.6,12 Ultimate
MSI RX 6650 XT 8gb OC,Msi,AMD,Đã qua sử dụng,6000000,Bảo hành hãng,34,RDNA 2.0,4096x2160,2055,2694.0,2190,8.0,GDDR6,128,280.3,2048,277.0,130.0,51.0,PCIe 4.0 x8,176,4.6,12 Ultimate
MSI Radeon RX 6600XT 8G GAMING X,Msi,AMD,Đã qua sử dụng,3800000,Bảo hành hãng,12,RDNA 2.0,4096x2160,2064,2607.0,2000,8.0,GDDR6,128,256.0,2048,277.0,130.0,51.0,PCIe 4.0 x8,160,4.6,12 Ultimate
Sapphire PULSE RX 5600 XT,Sapphire,AMD,Đã qua sử dụng,2300000,Không có bảo hành,0,RDNA 1.0,4096x2160,1400,1750.0,1750,6.0,GDDR6,192,336.0,2304,254.0,135.0,47.0,PCIe 4.0 x16,150,4.6,12
ASRock RX 6600 Challenger D,Asrock,AMD,Đã qua sử dụng,3300000,Không có bảo hành,0,RDNA 2.0,7680x4320,1626,2491.0,1750,8.0,GDDR6,128,224.0,1792,269.0,132.0,41.0,PCIe 4.0 x8,132,4.6,12 Ultimate
GIGABYTE RX 6600 XT GAMING OC PRO,Gigabyte,AMD,Đã qua sử dụng,7500000,Không có bảo hành,0,RDNA 2.0,7680x4320,1968,2589.0,2000,8.0,GDDR6,128,256.0,2048,282.0,115.0,50.0,PCIe 4.0 x8,160,4.6,12 Ultimate
MSI RX 6600 ARMOR,Msi,AMD,Đã qua sử dụng,2800000,Bảo hành hãng,12,RDNA 2.0,7680x4320,1626,2491.0,1750,8.0,GDDR6,128,224.0,1792,238.0,128.0,39.0,PCIe 4.0 x8,132,4.6,12 Ultimate
Sapphire PULSE RX 5600 XT,Sapphire,AMD,Đã qua sử dụng,1950000,Không có bảo hành,0,RDNA 1.0,4096x2160,1400,1750.0,1750,6.0,GDDR6,192,336.0,2304,254.0,135.0,47.0,PCIe 4.0 x16,150,4.6,12
Sapphire PULSE RX 5600 XT,Sapphire,AMD,Đã qua sử dụng,1850000,Không có bảo hành,0,RDNA 1.0,4096x2160,1400,1750.0,1750,6.0,GDDR6,192,336.0,2304,254.0,135.0,47.0,PCIe 4.0 x16,150,4.6,12
Sapphire PULSE RX 5600 XT,Sapphire,AMD,Đã qua sử dụng,1800000,Không có bảo hành,0,RDNA 1.0,4096x2160,1400,1750.0,1750,6.0,GDDR6,192,336.0,2304,254.0,135.0,47.0,PCIe 4.0 x16,150,4.6,12
MSI RX 5700 XT GAMING X,Msi,AMD,Đã qua sử dụng,2700000,Không có bảo hành,0,RDNA 1.0,4096x2160,1730,1980.0,1750,8.0,GDDR6,256,448.0,2560,297.0,140.0,58.0,PCIe 4.0 x16,225,4.6,12
MSI RX 5700 XT GAMING X,Msi,AMD,Đã qua sử dụng,3100000,Không có bảo hành,0,RDNA 1.0,4096x2160,1730,1980.0,1750,8.0,GDDR6,256,448.0,2560,297.0,140.0,58.0,PCIe 4.0 x16,225,4.6,12
ASRock Challenger D RX 5700 XT OC,Asrock,AMD,Đã qua sử dụng,2450000,Không có bảo hành,0,RDNA 1.0,4096x2160,1650,1905.0,1750,8.0,GDDR6,256,448.0,2560,281.0,137.0,42.0,PCIe 4.0 x16,225,4.6,12
MSI RX 6700 XT MECH 2X OC,Msi,AMD,Đã qua sử dụng,4790000,Bảo hành hãng,4,RDNA 2.0,7680x4320,2375,2620.0,2000,12.0,GDDR6,192,384.0,2560,247.0,131.0,51.0,PCIe 4.0 x16,230,4.6,12 Ultimate
GIGABYTE RX 6600 EAGLE,Gigabyte,AMD,Đã qua sử dụng,3600000,Bảo hành hãng,18,RDNA 2.0,7680x4320,1626,2491.0,1750,8.0,GDDR6,128,224.0,1792,282.0,113.0,41.0,PCIe 4.0 x8,132,4.6,12 Ultimate
MSI RX 6600 MECH 2X,Msi,AMD,Đã qua sử dụng,3990000,Bảo hành hãng,27,RDNA 2.0,7680x4320,1626,2491.0,1750,8.0,GDDR6,128,224.0,1792,235.0,125.0,46.0,PCIe 4.0 x8,132,4.6,12 Ultimate
PowerColor Hellhound RX 6600,Powercolor,AMD,Đã qua sử dụng,2699000,Không có bảo hành,0,RDNA 2.0,4096x2160,1626,2491.0,1750,8.0,GDDR6,128,224.0,1792,220.0,132.0,45.0,PCIe 4.0 x8,132,4.6,12 Ultimate
GIGABYTE RX 5500 XT OC,Msi,AMD,Đã qua sử dụng,1890000,Người bán bảo hành,3,RDNA 1.0,4096x2160,1647,1845.0,1750,4.0,GDDR6,128,224.0,1408,225.0,119.0,40.0,PCIe 4.0 x8,130,4.6,12
MSI RX 470 8GB Miner D5 2 Fan,Msi,AMD,Đã qua sử dụng,1390000,Người bán bảo hành,3,GCN 4.0,4096x2160,926,1206.0,1650,4.0,GDDR5,256,211.2,2048,240.0,95.0,35.0,PCIe 3.0 x16,120,4.6,12
MSI Radeon RX 6500 XT MECH 2X 4GB OC,Msi,AMD,Đã qua sử dụng,1990000,Người bán bảo hành,3,RDNA 2.0,4096x2160,2420,2825.0,2248,4.0,GDDR6,64,143.9,1024,172.0,112.0,42.0,PCIe 4.0 x4,107,4.6,12 Ultimate
