,LinearRegression,RandomForestRegressor,Price
81,3201795.14365132,5799880.0,5990000
4,3749316.4426957928,4301223.333333333,6000000
40,24654485.433234558,23642618.33333333,21000000
69,6096153.846153816,6092369.45634799,6590000
10,2784337.9458317347,2803780.0,1950000
45,274161.1129949633,1796380.0,999000
70,3891599.9999999916,3869735.3144078143,4199000
66,6096153.846153816,6092369.45634799,5999000
47,3445104.9894876145,3221895.9523809524,1500000
11,2784337.9458317347,2803780.0,1850000
100,6218173.846494497,7694910.0,7790000
36,-885428.1345411558,1002966.6666666667,1000000
84,4556027.369873038,5749093.333333334,6290000
113,6509191.407744624,7425782.94117647,12500000
18,3121433.963475169,3074740.0,3990000
0,1882283.1329381727,2286546.6666666665,600000
72,6096153.846153816,6092369.45634799,6390000
26,200000.00000007078,383595.238095238,400000
105,11899964.43450883,8124151.904761906,8690000
53,3716994.3554874086,3425089.404761905,1950000
94,4655475.522655548,3531340.0,5090000
112,12611135.255634882,13430440.0,19389000
12,2784337.9458317338,2803780.0,1800000
